year,visa_type,arrivals,departures,net
2004-05,Student,66180,21240,44940
2005-06,Student,73090,26080,47010
2006-07,Student,103730,25480,78250
2007-08,Student,133730,26020,107710
2008-09,Student,152760,30700,122060
2009-10,Student,106660,41770,64890
2010-11,Student,75350,50340,25010
2011-12,Student,73270,47560,25710
2012-13,Student,86210,44950,41260
2013-14,Student,114330,44150,70180
2014-15,Student,122130,45050,77080
2015-16,Student,132130,44110,88020
2016-17,Student,149410,46810,102600
2017-18,Student,157630,55420,102210
2018-19,Student,164340,67440,96900
2019-20,Student,110440,100920,9520
2020-21,Student,1510,62190,-60680
2021-22,Student,141420,26870,114550
2022-23,Student,277760,15490,262270
2023-24,Student,204130,32820,171310
2024-25,Student,156710,48640,108070
2004-05,Skilled Temporary,17100,7220,9880
2005-06,Skilled Temporary,27730,8480,19250
2006-07,Skilled Temporary,35850,9390,26460
2007-08,Skilled Temporary,44010,10600,33410
2008-09,Skilled Temporary,44060,13560,30500
2009-10,Skilled Temporary,26270,14600,11670
2010-11,Skilled Temporary,35600,12710,22890
2011-12,Skilled Temporary,47880,13360,34520
2012-13,Skilled Temporary,43460,18240,25220
2013-14,Skilled Temporary,32870,22290,10580
2014-15,Skilled Temporary,31490,21410,10080
2015-16,Skilled Temporary,30490,18880,11610
2016-17,Skilled Temporary,32690,15900,16790
2017-18,Skilled Temporary,26940,15500,11440
2018-19,Skilled Temporary,32600,15660,16940
2019-20,Skilled Temporary,22840,13650,9190
2020-21,Skilled Temporary,8950,11320,-2370
2021-22,Skilled Temporary,24420,8730,15690
2022-23,Skilled Temporary,49250,5630,43620
2023-24,Skilled Temporary,48870,7340,41530
2024-25,Skilled Temporary,45780,10080,35700
2004-05,Working Holiday,12930,3530,9400
2005-06,Working Holiday,17080,2840,14240
2006-07,Working Holiday,21630,4650,16980
2007-08,Working Holiday,29120,7770,21350
2008-09,Working Holiday,34300,10480,23820
2009-10,Working Holiday,33030,15030,18000
2010-11,Working Holiday,43460,15560,27900
2011-12,Working Holiday,54620,15720,38900
2012-13,Working Holiday,59250,20850,38400
2013-14,Working Holiday,54190,26970,27220
2014-15,Working Holiday,51600,28510,23090
2015-16,Working Holiday,50100,27470,22630
2016-17,Working Holiday,50330,25960,24370
2017-18,Working Holiday,50990,22500,28490
2018-19,Working Holiday,49090,25080,24010
2019-20,Working Holiday,43950,25520,18430
2020-21,Working Holiday,1020,7820,-6800
2021-22,Working Holiday,20470,4580,15890
2022-23,Working Holiday,73670,2960,70710
2023-24,Working Holiday,80070,11680,68390
2024-25,Working Holiday,78340,24950,53390
2004-05,Visitors,35770,14320,21450
2005-06,Visitors,36100,15510,20590
2006-07,Visitors,37590,11740,25850
2007-08,Visitors,49990,21040,28950
2008-09,Visitors,42340,20850,21490
2009-10,Visitors,40260,16250,24010
2010-11,Visitors,41710,16420,25290
2011-12,Visitors,42720,13870,28850
2012-13,Visitors,47920,15030,32890
2013-14,Visitors,44440,12230,32210
2014-15,Visitors,50240,12200,38040
2015-16,Visitors,60550,16460,44090
2016-17,Visitors,72270,18470,53800
2017-18,Visitors,79430,20830,58600
2018-19,Visitors,91220,27310,63910
2019-20,Visitors,117740,16880,100860
2020-21,Visitors,7700,15020,-7320
2021-22,Visitors,47410,17100,30310
2022-23,Visitors,108350,18400,89950
2023-24,Visitors,85330,17190,68140
2024-25,Visitors,56080,18340,37740
