category,year,grants
Family,2015-16,57400
Skilled,2015-16,128550
Special Eligibility,2015-16,308
Family,2016-17,56220
Skilled,2016-17,123567
Special Eligibility,2016-17,421
Family,2017-18,47732
Skilled,2017-18,111099
Special Eligibility,2017-18,236
Family,2018-19,47247
Skilled,2018-19,109713
Special Eligibility,2018-19,115
Family,2019-20,41961
Skilled,2019-20,95843
Special Eligibility,2019-20,81
Family,2020-21,77372
Skilled,2020-21,79620
Special Eligibility,2020-21,54
Family,2021-22,51288
Skilled,2021-22,89063
Special Eligibility,2021-22,199
Family,2022-23,52500
Skilled,2022-23,142344
Special Eligibility,2022-23,160
Family,2023-24,52720
Skilled,2023-24,137100
Special Eligibility,2023-24,180
Family,2024-25,52500
Skilled,2024-25,132148
Special Eligibility,2024-25,353
