visa,industry,jobs_2223,income_2223
Permanent Skilled,"Agriculture, Forestry and Fishing",11687,30689
Permanent Skilled,Mining,28901,130315
Permanent Skilled,Manufacturing,109673,62123
Permanent Skilled,"Electricity, Gas, Water and Waste Services",17106,103005
Permanent Skilled,Construction,107797,52835
Permanent Skilled,Wholesale Trade,81892,65748
Permanent Skilled,Retail Trade,176331,19443
Permanent Skilled,Accommodation and Food Services,157567,12120
Permanent Skilled,"Transport, Postal and Warehousing",117726,20992
Permanent Skilled,Information Media and Telecommunications,49744,78586
Permanent Skilled,Financial and Insurance Services,125180,75676
Permanent Skilled,"Rental, Hiring and Real Estate Services",36218,37766
Permanent Skilled,"Professional, Scientific and Technical Services",292873,68693
Permanent Skilled,Administrative and Support Services,209660,19486
Permanent Skilled,Public Administration and Safety,100949,66152
Permanent Skilled,Education and Training,159168,33574
Permanent Skilled,Health Care and Social Assistance,458208,44108
Permanent Skilled,Arts and Recreation Services,30617,12005
Permanent Skilled,Other Services,66229,28333
Permanent Family,"Agriculture, Forestry and Fishing",10943,20039
Permanent Family,Mining,6778,97952
Permanent Family,Manufacturing,61759,46338
Permanent Family,"Electricity, Gas, Water and Waste Services",5843,72246
Permanent Family,Construction,59439,37364
Permanent Family,Wholesale Trade,39737,46851
Permanent Family,Retail Trade,92215,21989
Permanent Family,Accommodation and Food Services,100865,14327
Permanent Family,"Transport, Postal and Warehousing",47667,24672
Permanent Family,Information Media and Telecommunications,16318,39742
Permanent Family,Financial and Insurance Services,46278,51809
Permanent Family,"Rental, Hiring and Real Estate Services",19687,30396
Permanent Family,"Professional, Scientific and Technical Services",89333,44613
Permanent Family,Administrative and Support Services,126899,15787
Permanent Family,Public Administration and Safety,40253,53622
Permanent Family,Education and Training,67019,28784
Permanent Family,Health Care and Social Assistance,205537,31620
Permanent Family,Arts and Recreation Services,18738,14312
Permanent Family,Other Services,52189,20191
Permanent Humanitarian,"Agriculture, Forestry and Fishing",3862,10669
Permanent Humanitarian,Mining,968,76309
Permanent Humanitarian,Manufacturing,20900,42917
Permanent Humanitarian,"Electricity, Gas, Water and Waste Services",1504,46748
Permanent Humanitarian,Construction,22032,31288
Permanent Humanitarian,Wholesale Trade,7355,28803
Permanent Humanitarian,Retail Trade,21182,14408
Permanent Humanitarian,Accommodation and Food Services,16100,7186
Permanent Humanitarian,"Transport, Postal and Warehousing",18584,13235
Permanent Humanitarian,Information Media and Telecommunications,1755,10002
Permanent Humanitarian,Financial and Insurance Services,6876,26578
Permanent Humanitarian,"Rental, Hiring and Real Estate Services",2800,19764
Permanent Humanitarian,"Professional, Scientific and Technical Services",10030,21771
Permanent Humanitarian,Administrative and Support Services,52122,8199
Permanent Humanitarian,Public Administration and Safety,10145,24976
Permanent Humanitarian,Education and Training,8599,17386
Permanent Humanitarian,Health Care and Social Assistance,56589,22768
Permanent Humanitarian,Arts and Recreation Services,1936,8313
Permanent Humanitarian,Other Services,10654,18749
