year,industry,jobs
2018-19,Health and Social Care,611880
2018-19,Hospitality,549857
2018-19,Admin and Support,713650
2018-19,Professional Services,463203
2018-19,Retail,368910
2018-19,Education,255318
2018-19,Construction,282308
2018-19,Manufacturing,272902
2018-19,Transport,220663
2018-19,Finance and Insurance,178027
2018-19,Public Admin,157470
2018-19,Wholesale Trade,188739
2018-19,Agriculture,136467
2018-19,Mining,43681
2019-20,Health and Social Care,637694
2019-20,Hospitality,595493
2019-20,Admin and Support,742672
2019-20,Professional Services,477777
2019-20,Retail,393613
2019-20,Education,283663
2019-20,Construction,285907
2019-20,Manufacturing,272054
2019-20,Transport,250261
2019-20,Finance and Insurance,191525
2019-20,Public Admin,153329
2019-20,Wholesale Trade,192394
2019-20,Agriculture,136269
2019-20,Mining,47224
2020-21,Health and Social Care,785749
2020-21,Hospitality,584192
2020-21,Admin and Support,746993
2020-21,Professional Services,502339
2020-21,Retail,419330
2020-21,Education,285031
2020-21,Construction,300901
2020-21,Manufacturing,288373
2020-21,Transport,272201
2020-21,Finance and Insurance,208975
2020-21,Public Admin,169564
2020-21,Wholesale Trade,197055
2020-21,Agriculture,113786
2020-21,Mining,49367
2021-22,Health and Social Care,936664
2021-22,Hospitality,671602
2021-22,Admin and Support,843087
2021-22,Professional Services,568565
2021-22,Retail,497127
2021-22,Education,323494
2021-22,Construction,325271
2021-22,Manufacturing,313870
2021-22,Transport,312336
2021-22,Finance and Insurance,246916
2021-22,Public Admin,206176
2021-22,Wholesale Trade,208522
2021-22,Agriculture,92667
2021-22,Mining,58010
2022-23,Health and Social Care,1063254
2022-23,Hospitality,797319
2022-23,Admin and Support,926586
2022-23,Professional Services,595558
2022-23,Retail,540387
2022-23,Education,352057
2022-23,Construction,347752
2022-23,Manufacturing,340127
2022-23,Transport,353964
2022-23,Finance and Insurance,260536
2022-23,Public Admin,214173
2022-23,Wholesale Trade,220825
2022-23,Agriculture,102210
2022-23,Mining,64280
